"Programs","Description","Applicable OS's","Available Package Managers","Other Info"
"[.tmux](https://github.com/gpakosz/.tmux)","Oh my tmux! My self-contained, pretty & versatile tmux configuration made with.","macOS<br>Linux","[![Github](https://img.shields.io/badge/git-git%20clone-lightgrey)](https://github.com/gpakosz/.tmux)","Note a command.<br>Requires `tmux` to be installed."
"[asciinema](https://github.com/asciinema/asciinema)","Terminal session recorder.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/asciinema?color=f9d194)](https://formulae.brew.sh/formula/asciinema)<br>[![PyPI](https://img.shields.io/pypi/v/asciinema?color=3572A5)](https://pypi.org/project/asciinema/)",""
"[bandwhich](https://github.com/imsnif/bandwhich)","Terminal bandwidth utilization tool.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/bandwhich?color=f9d194)](https://formulae.brew.sh/formula/bandwhich)<br>[![Crates.io](https://img.shields.io/crates/v/bandwhich?color=dea584)](https://crates.io/crates/bandwhich)",""
"[bat](https://github.com/sharkdp/bat)","Clone of cat(1) with syntax highlighting and Git integration.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/bat?color=f9d194)](https://formulae.brew.sh/formula/bat)<br>[![Crates.io](https://img.shields.io/crates/v/bat?color=dea584)](https://crates.io/crates/bat)",""
"[black](https://github.com/psf/black)","The uncompromising Python code formatter.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/black?color=f9d194)](https://formulae.brew.sh/formula/black)<br>[![PyPI](https://img.shields.io/pypi/v/black?color=3572A5)](https://pypi.org/project/black/)",""
"[blackbox](https://github.com/StackExchange/blackbox)","Safely store secrets in Git/Mercurial/Subversion.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/blackbox?color=f9d194)](https://formulae.brew.sh/formula/blackbox)","Commands are prefixed with `blackbox_`."
"[codespell](https://github.com/codespell-project/codespell)","Check code for common misspellings.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/codespell?color=f9d194)](https://formulae.brew.sh/formula/codespell)<br>[![PyPI](https://img.shields.io/pypi/v/codespell?color=3572A5)](https://pypi.org/project/codespell/)",""
"[coreutils](https://github.com/coreutils/coreutils)","These are the GNU core utilities. This package is the union of the GNU `fileutils`, `sh-utils`, and `textutils` packages.","macOS","[![homebrew version](https://img.shields.io/homebrew/v/coreutils?color=f9d194)](https://formulae.brew.sh/formula/coreutils)","Not a command.<br>All GNU commands installed via coreutils, are the same as they are on Linux, but prefixed with a `g` (i.e. `gcp` for `cp`)."
"[duf](https://github.com/muesli/duf)","Disk Usage/Free Utility - a better 'df' alternative.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/duf?color=f9d194)](https://formulae.brew.sh/formula/duf)",""
"[ffmpeg](https://github.com/FFmpeg/FFmpeg)","FFmpeg is a collection of libraries and tools to process multimedia content such as audio, video, subtitles and related metadata.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/ffmpeg?color=f9d194)](https://formulae.brew.sh/formula/ffmpeg)",""
"[fzf](https://github.com/junegunn/fzf)","A command-line fuzzy finder.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/fzf?color=f9d194)](https://formulae.brew.sh/formula/fzf)",""
"[gallery-dl](https://github.com/mikf/gallery-dl)","Command-line program to download image galleries and collections from several image hosting sites.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/gallery-dl?color=f9d194)](https://formulae.brew.sh/formula/gallery-dl)<br>[![PyPI](https://img.shields.io/pypi/v/gallery-dl?color=3572A5)](https://pypi.org/project/gallery-dl/)",""
"[gh](https://github.com/cli/cli)","GitHub’s official command line tool.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/gh?color=f9d194)](https://github.com/ClementTsang/gh#homebrew)",""
"[grex](https://github.com/pemistahl/grex)","Generates regular expressions from user-provided test cases.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/grex?color=f9d194)](https://formulae.brew.sh/formula/grex)<br>[![Crates.io](https://img.shields.io/crates/v/grex?color=dea584)](https://crates.io/crates/grex)",""
"[htop](https://github.com/htop-dev/htop)","Improved top (interactive process viewer).","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/htop?color=f9d194)](https://formulae.brew.sh/formula/htop)",""
"[httpie](https://github.com/httpie/httpie)","User-friendly cURL replacement (command-line HTTP client).","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/httpie?color=f9d194)](https://formulae.brew.sh/formula/httpie)<br>[![PyPI](https://img.shields.io/pypi/v/httpie?color=3572A5)](https://pypi.org/project/httpie/)","Command: `http`."
"[imagemagick](https://github.com/ImageMagick/ImageMagick)","Use ImageMagick® to create, edit, compose, or convert digital images. It can read and write images in a variety of formats (over 200) including PNG, JPEG, GIF, WebP, HEIC, SVG, PDF, DPX, EXR and TIFF.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/imagemagick?color=f9d194)](https://formulae.brew.sh/formula/imagemagick)","Command: `magick`.<br>More info [here](https://imagemagick.org/script/command-line-tools.php)."
"[lsd](https://github.com/Peltoche/lsd)","The next gen ls command.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/lsd?color=f9d194)](https://formulae.brew.sh/formula/lsd)<br>[![Crates.io](https://img.shields.io/crates/v/lsd?color=dea584)](https://crates.io/crates/lsd)",""
"[lynis](https://github.com/CISOfy/lynis)","Security and system auditing tool to harden systems.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/lynis?color=f9d194)](https://formulae.brew.sh/formula/lynis)","Recommended install method: [Git](https://github.com/CISOfy/Lynis)."
"[m-cli](https://github.com/rgcr/m-cli)","Swiss Army Knife for macOS.","macOS","[![homebrew version](https://img.shields.io/homebrew/v/m-cli?color=f9d194)](https://formulae.brew.sh/formula/m-cli)","Command: `m`."
"[mas](https://github.com/mas-cli/mas)","Mac App Store command line interface.","macOS","[![homebrew version](https://img.shields.io/homebrew/v/mas?color=f9d194)](https://formulae.brew.sh/formula/mas)",""
"[muffet](https://github.com/raviqqe/muffet)","Fast website link checker in Go.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/muffet?color=f9d194)](https://formulae.brew.sh/formula/muffet)",""
"[ncdu](https://code.blicky.net/yorhel/ncdu)","ncdu (NCurses Disk Usage) is a curses-based version of the well-known 'du'.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/ncdu?color=f9d194)](https://formulae.brew.sh/formula/ncdu)",""
"[nmap](https://github.com/nmap/nmap)","Network exploration tool and security / port scanner.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/nmap?color=f9d194)](https://formulae.brew.sh/formula/nmap)",""
"[prettier](https://github.com/prettier/prettier)","Code formatter for JavaScript, CSS, JSON, GraphQL, Markdown, YAML.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/prettier?color=f9d194)](https://formulae.brew.sh/formula/prettier)<br>[![npm](https://img.shields.io/npm/v/prettier?color=f1e05a)](https://www.npmjs.com/package/prettier)","Recommended install method: [Npm](https://www.npmjs.com/package/prettier)."
"[pstree](http://www.thp.uni-duisburg.de/pstree/)","List processes as a tree.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pstree?color=f9d194)](https://formulae.brew.sh/formula/pstree)",""
"[pipenv](https://github.com/pypa/pipenv)","Python dependency management tool.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pipenv?color=f9d194)](https://formulae.brew.sh/formula/pipenv)<br>[![PyPI](https://img.shields.io/pypi/v/pipenv?color=3572A5)](https://pypi.org/project/pipenv/)",""
"[pipx](https://github.com/pypa/pipx)","Install and Run Python Applications in Isolated Environments.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pipx?color=f9d194)](https://formulae.brew.sh/formula/pipx)<br>[![PyPI](https://img.shields.io/pypi/v/pipx?color=3572A5)](https://pypi.org/project/pipx/)",""
"[pyenv](https://github.com/pyenv/pyenv)","Simple Python version management.","macos<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pyenv?color=f9d194)](https://formulae.brew.sh/formula/pyenv)",""
"[pylint](https://github.com/PyCQA/pylint)","It's not just a linter that annoys you!","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pylint?color=f9d194)](https://formulae.brew.sh/formula/pylint)<br>[![PyPI](https://img.shields.io/pypi/v/pylint?color=3572A5)](https://pypi.org/project/pylint/)",""
"[shellcheck](https://github.com/koalaman/shellcheck)","Shell script analysis tool.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/shellcheck?color=f9d194)](https://formulae.brew.sh/formula/shellcheck)",""
