Programs,Description,Number of Repository Families Featuring this Package,Is a Command,Other Info
[apt-listchanges](https://tracker.debian.org/pkg/apt-listchanges),Package change history notification tool.,[![Packaging status](https://repology.org/badge/tiny-repos/apt-listchanges.svg)](https://repology.org/project/apt-listchanges/versions),Yes,Specific to Debian based distributions.<br>Rarely used as a command.
[bandwhich](https://github.com/imsnif/bandwhich),Terminal bandwidth utilization tool.,[![Packaging status](https://repology.org/badge/tiny-repos/bandwhich.svg)](https://repology.org/project/bandwhich/versions),Yes," "
[bat-cat](https://github.com/sharkdp/bat),A cat(1) clone with wings.,[![Packaging status](https://repology.org/badge/tiny-repos/bat-cat.svg)](https://repology.org/project/bat-cat/versions),Yes<br>`bat` or `batcat` or `bat-cat`," "
[black](https://github.com/psf/black),The uncompromising Python code formatter.,[![Packaging status](https://repology.org/badge/tiny-repos/black.svg)](https://repology.org/project/black/versions),Yes,Recommended install method: [Homebrew](https://formulae.brew.sh/formula/black) OR [Pip](https://pypi.org/project/black/).
[codespell](https://github.com/codespell-project/codespell),Check code for common misspellings.,[![Packaging status](https://repology.org/badge/tiny-repos/codespell.svg)](https://repology.org/project/codespell/versions),Yes," "
[deborphan](https://tracker.debian.org/pkg/deborphan),"Program that can find unused packages, e.g. libraries.",[![Packaging status](https://repology.org/badge/tiny-repos/deborphan.svg)](https://repology.org/project/deborphan/versions),Yes,Specific to Debian based distributions.
[duf](https://github.com/muesli/duf),Disk Usage/Free Utility - a better 'df' alternative.,[![Packaging status](https://repology.org/badge/tiny-repos/duf.svg)](https://repology.org/project/duf/versions),Yes," "
[eza](https://github.com/eza-community/eza),"A modern, maintained replacement for `ls`.",[![Packaging status](https://repology.org/badge/tiny-repos/eza.svg)](https://repology.org/project/eza/versions),Yes,"For the apt package installation, see [here](https://github.com/eza-community/eza/blob/main/INSTALL.md#debian-and-ubuntu)."
[ffmpeg](https://github.com/FFmpeg/FFmpeg),"FFmpeg is a collection of libraries and tools to process multimedia content such as audio, video, subtitles and related metadata.",[![Packaging status](https://repology.org/badge/tiny-repos/ffmpeg.svg)](https://repology.org/project/ffmpeg/versions),???," "
[fzf](https://github.com/junegunn/fzf),A command-line fuzzy finder.,[![Packaging status](https://repology.org/badge/tiny-repos/fzf.svg)](https://repology.org/project/fzf/versions),Yes,Recommended install method: [Git](https://github.com/Aloxaf/fzf-tab) OR [Oh My Zsh](https://github.com/ohmyzsh/ohmyzsh/tree/master/plugins/fzf)
[gallery-dl](https://github.com/mikf/gallery-dl),Command-line program to download image galleries and collections from several image hosting sites.,[![Packaging status](https://repology.org/badge/tiny-repos/gallery-dl.svg)](https://repology.org/project/gallery-dl/versions),Yes," "
[git](https://github.com/git/git),"Git is a fast, scalable, distributed revision control system with an unusually rich command set that provides both high-level operations and full access to internals.",[![Packaging status](https://repology.org/badge/tiny-repos/git.svg)](https://repology.org/project/git/versions),Yes," "
[git-delta](https://github.com/dandavison/delta),"A syntax-highlighting pager for git, diff, and grep output",[![Packaging status](https://repology.org/badge/tiny-repos/git-delta.svg)](https://repology.org/project/git-delta/versions),No," "
[gnupg](https://github.com/gpg/gnupg),The GNU Privacy Guard,[![Packaging status](https://repology.org/badge/tiny-repos/gnupg.svg)](https://repology.org/project/gnupg/versions),Yes<br>`gpg` or `gpg2`," "
[htop](https://hisham.hm/htop/),A cross-platform interactive process viewer.,[![Packaging status](https://repology.org/badge/tiny-repos/htop.svg)](https://repology.org/project/htop/versions),Yes," "
[imagemagick](https://github.com/ImageMagick/ImageMagick),"Use ImageMagick® to create, edit, compose, or convert digital images. It can read and write images in a variety of formats (over 200) including PNG, JPEG, GIF, WebP, HEIC, SVG, PDF, DPX, EXR and TIFF.",[![Packaging status](https://repology.org/badge/tiny-repos/imagemagick.svg)](https://repology.org/project/imagemagick/versions),Yes<br>`magick`,<br>More info [here](https://imagemagick.org/script/command-line-tools.php).<br>Recommended install method: [Homebrew](https://formulae.brew.sh/formula/imagemagick).
[lazygit](https://github.com/jesseduffield/lazygit/),Simple terminal UI for git commands.,[![Packaging status](https://repology.org/badge/tiny-repos/lazygit.svg)](https://repology.org/project/lazygit/versions),Yes," "
[lynis](https://github.com/CISOfy/lynis),Security and system auditing tool to harden systems.,[![Packaging status](https://repology.org/badge/tiny-repos/lynis.svg)](https://repology.org/project/lynis/versions),Yes,Recommended install method: [Git](https://github.com/CISOfy/Lynis).
[ncdu](https://code.blicky.net/yorhel/ncdu),ncdu (NCurses Disk Usage) is a curses-based version of the well-known 'du'.,[![Packaging status](https://repology.org/badge/tiny-repos/ncdu.svg)](https://repology.org/project/ncdu/versions),Yes," "
[neovim](https://github.com/neovim/neovim),Vim-fork focused on extensibility and usability.,[![Packaging status](https://repology.org/badge/tiny-repos/neovim.svg)](https://repology.org/project/neovim/versions),Yes<br>`nvim`," "
[pstree](https://github.com/FredHucht/pstree),List processes as a tree.,[![Packaging status](https://repology.org/badge/tiny-repos/pstree.svg)](https://repology.org/project/pstree/versions),Yes," "
[pipenv](https://github.com/pypa/pipenv),Python dependency management tool.,[![Packaging status](https://repology.org/badge/tiny-repos/pipenv.svg)](https://repology.org/project/pipenv/versions),Yes," "
[pipx](https://github.com/pypa/pipx),Install and Run Python Applications in Isolated Environments.,[![Packaging status](https://repology.org/badge/tiny-repos/pipx.svg)](https://repology.org/project/pipx/versions),Yes,Recommended install method: [Homebrew](https://formulae.brew.sh/formula/pipx) OR [Pip](https://pypi.org/project/pipx/).
[python-is-python3](https://packages.debian.org/unstable/python-is-python3),symlinks /usr/bin/python to python3.,N/A,No," "
[shellcheck](https://www.shellcheck.net/),Shell script analysis tool.,[![Packaging status](https://repology.org/badge/tiny-repos/shellcheck.svg)](https://repology.org/project/shellcheck/versions),Yes," "
[tmux](https://github.com/tmux/tmux),"tmux is a terminal multiplexer: it enables a number of terminals to be created, accessed, and controlled from a single screen.",[![Packaging status](https://repology.org/badge/tiny-repos/tmux.svg)](https://repology.org/project/tmux/versions),Yes," "
[trash-cli](https://github.com/andreafrancia/trash-cli),Command line interface to the freedesktop.org trashcan.,[![Packaging status](https://repology.org/badge/tiny-repos/trash-cli.svg)](https://repology.org/project/trash-cli/versions),Collection,Recommended install method: [Homebrew](https://formulae.brew.sh/formula/trash-cli) OR [Pip](https://pypi.org/project/trash-cli/).
[tree](https://oldmanprogrammer.net/source.php?dir=projects/tree),Display directories as trees (with optional color/HTML output).,N/A,Yes," "
[yt-dlp](https://github.com/yt-dlp/yt-dlp),A feature-rich command-line audio/video downloader.,[![Packaging status](https://repology.org/badge/tiny-repos/yt-dlp.svg)](https://repology.org/project/yt-dlp/versions),Yes," "
[zip](http://www.info-zip.org/Zip.html),Compression and file packaging/archive utility.,[![Packaging status](https://repology.org/badge/tiny-repos/zip.svg)](https://repology.org/project/zip/versions),Yes," "
[zsh](https://www.zsh.org/),UNIX shell (command interpreter).,[![Packaging status](https://repology.org/badge/tiny-repos/zsh.svg)](https://repology.org/project/zsh/versions),No," "
