"Plugins","Description"
"[luochen1990/rainbow](https://github.com/luochen1990/rainbow)","Rainbow Parentheses Improved, shorter code, no level limit, smooth and fast, powerful configuration."
"[vim-airline/vim-airline](https://github.com/vim-airline/vim-airline)","lean & mean status/tabline for vim that's light as air"
"[vim-airline/vim-airline-themes](https://github.com/vim-airline/vim-airline-themes)","A collection of themes for vim-airline"
"[morhetz/gruvbox](https://github.com/morhetz/gruvbox)","Retro groove color scheme for Vim"
"[sheerun/vim-polyglot](https://github.com/sheerun/vim-polyglot)","A solid language pack for Vim."
"[preservim/nerdtree](https://github.com/preservim/nerdtree)","A tree explorer plugin for vim."
"[ryanoasis/vim-devicons](https://github.com/ryanoasis/vim-devicons)","Adds file type icons to Vim plugins such as: NERDTree, vim-airline, CtrlP, unite, Denite, lightline, vim-startify and many more"
"[Xuyuanp/nerdtree-git-plugin](https://github.com/Xuyuanp/nerdtree-git-plugin)","A plugin of NERDTree showing git status"
"[dense-analysis/ale](https://github.com/dense-analysis/ale)","Check syntax in Vim asynchronously and fix files, with Language Server Protocol (LSP) support"
"[valloric/youcompleteme](https://github.com/ycm-core/YouCompleteMe)","A code-completion engine for Vim"
